from,to,gt_weight
EGR1,HNRNPAB,1
EGR1,MEX3C,1
EGR1,SALL2,1
EGR1,SMARCD3,1
EGR1,POLR3G,1
EGR1,TRIM33,1
EGR1,TGFB1,1
EGR1,SKIL,1
EGR1,YBX1,1
EGR1,PNPLA8,1
EGR1,ANKZF1,1
EGR1,ANKRD26,1
EGR1,PLAGL1,1
EGR1,CXXC1,1
EGR1,CNBP,1
EGR1,NUCB2,1
EGR1,APEX1,1
EGR1,TDRD7,1
EGR1,KLF8,1
EGR1,NEDD4,1
EGR1,MED14,1
EGR1,ETV4,1
EGR1,EGR1,1
EGR1,VPS13C,1
EGR1,CBX3,1
EGR1,NUP35,1
EGR1,DNAAF2,1
EGR1,TEX10,1
EGR1,ECI2,1
EGR1,PLAGL2,1
EGR1,B4GALT4,1
EGR1,CCDC82,1
EGR1,FOXJ1,1
EGR1,REL,1
EGR1,PSIP1,1
EGR1,TCF19,1
EGR1,ZNF160,1
EGR1,ATG4C,1
EGR1,ARHGAP42,1
EGR1,RHOBTB3,1
EGR1,ARFGAP3,1
EGR1,HOMER1,1
EGR1,MIA3,1
EGR1,JMJD1C,1
EGR1,RGPD2,1
EGR1,RBPJ,1
EGR1,XRCC6,1
EGR1,NONO,1
EGR1,NDUFC2-KCTD14,1
EGR1,TRAPPC8,1
EGR1,CUX1,1
EGR1,ZFYVE16,1
EGR1,TCF4,1
EGR1,RMI1,1
EGR1,HNRNPK,1
EGR1,WDR35,1
EGR1,FARSB,1
EGR1,MCM7,1
EGR1,ETV3,1
EGR1,ZNF24,1
EGR1,HIF1A,1
EGR1,KHSRP,1
EGR1,ZNF8,1
EGR1,PRICKLE1,1
EGR1,ANXA3,1
EGR1,PARP1,1
EGR1,TFE3,1
EGR1,ZNF280B,1
EGR1,RFESD,1
EGR1,KIAA1324L,1
EGR1,SLC36A4,1
EGR1,TJP2,1
EGR1,MIF,1
EGR1,ATP2B4,1
EGR1,POU2F1,1
EGR1,RAI14,1
EGR1,MDM4,1
EGR1,REV3L,1
EGR1,MAN1A1,1
EGR1,YAF2,1
EGR1,ZNF142,1
EGR1,RUVBL1,1
EGR1,MEF2D,1
EGR1,TIPARP,1
EGR1,PRKACB,1
EGR1,RUVBL2,1
EGR1,PHB2,1
EGR1,KLF5,1
EGR1,HCFC1,1
EGR1,GLDC,1
EGR1,SLC39A11,1
EGR1,ZKSCAN1,1
EGR1,ALG6,1
EGR1,PRTG,1
EGR1,RBFOX2,1
EGR1,ANKRD50,1
EGR1,ELOVL2,1
EGR1,GATAD2A,1
EGR1,ADAMTS3,1
EGR1,MYOF,1
EGR1,TP53,1
EGR1,SEMA6A,1
EGR1,ZNF398,1
EGR1,WWTR1,1
EGR1,ST8SIA4,1
EGR1,MCM4,1
EGR1,ZNF202,1
EGR1,PPARGC1B,1
EGR1,GRHL2,1
EGR1,GTF2H2,1
EGR1,HDGF,1
EGR1,PDGFA,1
EGR1,ODC1,1
EGR1,CDC7,1
EGR1,CA2,1
EGR1,STAT3,1
EGR1,FBXO28,1
EGR1,LIFR,1
EGR1,PDE3B,1
EGR1,ZNF165,1
EGR1,CITED2,1
EGR1,JUND,1
EGR1,ABLIM1,1
EGR1,ZRANB2,1
EGR1,ARNT2,1
EGR1,ELL2,1
EGR1,DDX54,1
EGR1,ZNF219,1
EGR1,TRIP11,1
EGR1,XRCC5,1
EGR1,ENC1,1
EGR1,PER3,1
EGR1,MXI1,1
EGR1,LEF1,1
EGR1,IRF1,1
EGR1,ARID3B,1
EGR1,SMAD5,1
EGR1,LHX1,1
EGR1,PITX2,1
EGR1,UTP18,1
EGR1,AGL,1
EGR1,E2F4,1
EGR1,MAML3,1
EGR1,TADA1,1
EGR1,MECOM,1
EGR1,ARID3A,1
EGR1,SPPL2A,1
EGR1,WDFY1,1
EGR1,SNRPB,1
EGR1,TFB2M,1
EGR1,PELI2,1
EGR1,ZNF518B,1
EGR1,PLXNA2,1
EGR1,DNMT3A,1
EGR1,RFXANK,1
EGR1,RPP40,1
EGR1,FER,1
EGR1,PPP1R9A,1
EGR1,PHF21A,1
EGR1,DNMT1,1
EGR1,PLK2,1
EGR1,NR2C1,1
EGR1,ARHGAP29,1
EGR1,TRAF6,1
EGR1,TBX3,1
EGR1,ETS1,1
EGR1,SNRPD1,1
EGR1,FBXO34,1
EGR1,NFIC,1
EGR1,NCOA6,1
EGR1,LPGAT1,1
EGR1,SMARCD1,1
EGR1,NOC3L,1
EGR1,E2F7,1
EGR1,TFAP2A,1
EGR1,ST3GAL6,1
EGR1,SOX2,1
EGR1,SLC35A3,1
EGR1,GATA6,1
EGR1,MCM2,1
EGR1,RRN3,1
EGR1,BAMBI,1
EGR1,PALLD,1
EGR1,XRN1,1
EGR1,CDCA7L,1
EGR1,MMP16,1
EGR1,FOXN3,1
EGR1,SATB1,1
EGR1,MYBBP1A,1
EGR1,RTKN2,1
EGR1,PHLDB2,1
EGR1,WDR3,1
EGR1,MSX1,1
EGR1,EOMES,1
EGR1,NCAM1,1
EGR1,WWP1,1
EGR1,COBLL1,1
EGR1,BMP4,1
EGR1,CALB1,1
EGR1,PDGFRA,1
EGR1,DUSP4,1
EGR1,AR,1
EGR1,PLAU,1
EGR1,CLDN10,1
EGR1,MITF,1
EGR1,IFI16,1
EGR1,AEBP1,1
EGR1,PAM,1
EGR1,MEIS2,1
EGR1,TEAD4,1
EGR1,WLS,1
EGR1,GABRB3,1
EGR1,ZFHX3,1
EGR1,FOXK1,1
EGR1,APBB2,1
EGR1,FOXF1,1
EGR1,ALCAM,1
EGR1,HIST1H1B,1
EGR1,DCLK1,1
EGR1,CCDC80,1
EGR1,COL5A1,1
EGR1,ZNF521,1
EGR1,LDB2,1
EGR1,FLI1,1
EGR1,ZFP42,1
EGR1,SPIB,1
EGR1,RORB,1
EGR1,TRERF1,1
EOMES,CER1,1
EOMES,HESX1,1
EOMES,DCLK1,1
EOMES,SAMD3,1
EOMES,KLHL4,1
EOMES,HNRNPD,1
EOMES,KIAA1324L,1
EOMES,RIPPLY1,1
EOMES,OTX2,1
EOMES,NCAM1,1
EOMES,SMARCD3,1
EOMES,MATN3,1
EOMES,TNC,1
EOMES,ANGPT2,1
EOMES,VWA5A,1
EOMES,LIN28A,1
EOMES,CBX3,1
EOMES,DNAJC2,1
EOMES,TLE2,1
EOMES,ZNF202,1
EOMES,CA14,1
EOMES,BTF3,1
EOMES,CLGN,1
EOMES,RND3,1
EOMES,MAMLD1,1
EOMES,TTC39B,1
EOMES,SIPA1L2,1
EOMES,GATA4,1
EOMES,CREB3L4,1
EOMES,SEMA3E,1
EOMES,ALPK2,1
EOMES,MECOM,1
EOMES,PIP4K2A,1
EOMES,POU2F1,1
EOMES,PLAGL1,1
EOMES,UNC5D,1
EOMES,BCAR3,1
EOMES,C4orf46,1
EOMES,NUP54,1
EOMES,NANOG,1
EOMES,ETV4,1
EOMES,DAAM1,1
EOMES,GLRX,1
EOMES,GYPB,1
EOMES,DDX54,1
EOMES,FAM117B,1
EOMES,PLOD2,1
EOMES,JMJD1C,1
EOMES,FOXH1,1
EOMES,ETV7,1
EOMES,AFF1,1
EOMES,PRICKLE1,1
EOMES,KLHL6,1
EOMES,TNFRSF11B,1
EOMES,RAI1,1
EOMES,DYNC1I1,1
EOMES,DKK4,1
EOMES,CEP85L,1
EOMES,PLAU,1
EOMES,ATG4C,1
EOMES,WDR3,1
EOMES,UPF2,1
EOMES,ZNF521,1
EOMES,SLC39A8,1
EOMES,ETV3,1
EOMES,FXR1,1
EOMES,IFI16,1
EOMES,ETV1,1
EOMES,CDC7,1
EOMES,SLITRK2,1
EOMES,TTK,1
EOMES,HOPX,1
EOMES,GSC,1
EOMES,PRIM1,1
EOMES,PAM,1
EOMES,ARHGAP28,1
EOMES,CPE,1
EOMES,ATP2B4,1
EOMES,RAD51,1
EOMES,RGS5,1
EOMES,ENC1,1
EOMES,MFAP4,1
EOMES,SNAPC3,1
EOMES,MITF,1
EOMES,TFAP4,1
EOMES,SMG6,1
EOMES,COL4A6,1
EOMES,EEF1A1,1
EOMES,ESCO2,1
EOMES,TEAD4,1
EOMES,NCOA6,1
EOMES,TP53,1
EOMES,WDHD1,1
EOMES,DKK1,1
EOMES,MDM4,1
EOMES,SEMA6A,1
EOMES,BAMBI,1
EOMES,ZNF589,1
EOMES,TMEM64,1
EOMES,TLE1,1
EOMES,RNF138,1
EOMES,GYPE,1
EOMES,NAA15,1
EOMES,SALL2,1
EOMES,CALB1,1
EOMES,KDELR3,1
EOMES,GATA6,1
EOMES,ARID5B,1
EOMES,NRIP1,1
EOMES,NDUFC2-KCTD14,1
EOMES,NFKBIA,1
EOMES,CALCOCO1,1
EOMES,CRABP2,1
EOMES,PREPL,1
EOMES,MXI1,1
EOMES,CD9,1
EOMES,ECI2,1
EOMES,ISL1,1
EOMES,AK4,1
EOMES,RXRG,1
EOMES,PPM1H,1
EOMES,NOL11,1
EOMES,MIA3,1
EOMES,ZNF83,1
EOMES,NUAK1,1
EOMES,RAD51AP1,1
EOMES,TMEM38B,1
EOMES,ARL4D,1
EOMES,SRSF2,1
EOMES,PGM2,1
EOMES,SLC39A11,1
EOMES,LGALSL,1
EOMES,RBPJ,1
EOMES,CAMK2D,1
EOMES,POLR2A,1
EOMES,HIF1A,1
EOMES,FLRT2,1
EOMES,CA2,1
EOMES,SRSF1,1
EOMES,ST8SIA1,1
EOMES,SKA3,1
EOMES,OAS1,1
EOMES,SIRT1,1
EOMES,TLE3,1
EOMES,STIM2,1
EOMES,INSIG2,1
EOMES,TP53INP1,1
EOMES,ADAMTS3,1
EOMES,SFPQ,1
EOMES,NOC3L,1
EOMES,HDAC9,1
EOMES,ANKRD13C,1
EOMES,DNMT1,1
EOMES,WLS,1
EOMES,RMI1,1
EOMES,HNRNPK,1
EOMES,RGPD2,1
EOMES,POLR3G,1
EOMES,KAT7,1
EOMES,PMP22,1
EOMES,PALLD,1
EOMES,DUSP4,1
EOMES,RAI14,1
EOMES,KLF8,1
EOMES,PPT2,1
EOMES,MRPL1,1
EOMES,ILF3,1
EOMES,GPSM2,1
EOMES,YPEL5,1
EOMES,BRWD1,1
EOMES,DNMT3A,1
EOMES,TCF7L1,1
EOMES,SERTAD2,1
EOMES,ASH2L,1
EOMES,UTP18,1
EOMES,CTNNB1,1
EOMES,CCKBR,1
EOMES,CNKSR3,1
EOMES,ZRANB2,1
EOMES,BTBD10,1
EOMES,TRDN,1
EOMES,KDM6A,1
EOMES,TMEM131,1
EOMES,MRPS35,1
EOMES,CEP55,1
EOMES,MAGI3,1
EOMES,FOXP1,1
EOMES,ELAVL2,1
EOMES,ANKRD50,1
EOMES,PHLDB2,1
EOMES,MYBBP1A,1
EOMES,FN1,1
EOMES,SMAD5,1
EOMES,SEMA3A,1
EOMES,DDAH1,1
EOMES,DCAF6,1
EOMES,TSPAN12,1
EOMES,PHLDA1,1
EOMES,FREM1,1
EOMES,PCDH7,1
EOMES,PDE3B,1
EOMES,CDCA2,1
EOMES,TIPIN,1
EOMES,CUX1,1
EOMES,ZEB1,1
EOMES,EOMES,1
EOMES,CRX,1
EOMES,ANKRD1,1
EOMES,NEDD4,1
EOMES,UBTF,1
EOMES,RBFOX2,1
EOMES,HAS2,1
EOMES,TIPARP,1
EOMES,KLF7,1
EOMES,C3orf14,1
EOMES,ZNF219,1
EOMES,STAT3,1
EOMES,CITED2,1
EOMES,KLHL28,1
EOMES,KIF21A,1
EOMES,ASXL1,1
EOMES,CCDC138,1
EOMES,SEMA6D,1
EOMES,CCDC141,1
EOMES,SLC6A15,1
EOMES,KAT6A,1
EOMES,FAM135A,1
EOMES,MAML3,1
EOMES,MAFF,1
EOMES,SNRPB,1
EOMES,CSDE1,1
EOMES,TRIP11,1
EOMES,TJP2,1
EOMES,FBN1,1
EOMES,AFF4,1
EOMES,SPIB,1
EOMES,NPM1,1
EOMES,EMB,1
EOMES,ARFGAP3,1
EOMES,FOXN3,1
EOMES,POLR2G,1
EOMES,HELZ,1
EOMES,ATF6,1
EOMES,VIM,1
EOMES,PTMA,1
EOMES,FUBP1,1
EOMES,PA2G4,1
EOMES,NFAT5,1
EOMES,ARID3A,1
EOMES,PRKACB,1
EOMES,MED16,1
EOMES,REV3L,1
EOMES,PHF21A,1
EOMES,BUB1B,1
EOMES,ARHGAP42,1
EOMES,SNAI2,1
EOMES,HSD17B11,1
EOMES,SCD5,1
EOMES,TCF19,1
EOMES,MEIS2,1
EOMES,CREB3L2,1
EOMES,CAP2,1
EOMES,NFKBIB,1
EOMES,SLC35F1,1
EOMES,PRSS35,1
EOMES,HOMER1,1
EOMES,ESRP1,1
EOMES,REL,1
EOMES,CCPG1,1
EOMES,VHL,1
EOMES,FARSB,1
EOMES,EXO1,1
EOMES,ANKRD28,1
EOMES,KIF15,1
EOMES,ARID3B,1
EOMES,JUND,1
EOMES,NAP1L3,1
EOMES,MED14,1
EOMES,HMGA1,1
EOMES,ZFHX3,1
EOMES,BCL11A,1
EOMES,TEX10,1
EOMES,MCM7,1
EOMES,MCM4,1
EOMES,CXXC1,1
EOMES,EWSR1,1
EOMES,TDP2,1
EOMES,NTS,1
EOMES,KLF5,1
EOMES,EPCAM,1
EOMES,PBX1,1
EOMES,SNX14,1
EOMES,RFC3,1
EOMES,GYPA,1
EOMES,BCLAF1,1
EOMES,AGL,1
EOMES,HMGN2,1
EOMES,MAFG,1
EOMES,DEPDC1B,1
EOMES,TGFBR3,1
EOMES,HCFC1,1
EZH2,RGPD2,1
EZH2,POU3F1,1
EZH2,RSPO3,1
EZH2,ELOVL2,1
EZH2,PLAGL1,1
EZH2,PGR,1
EZH2,LGR5,1
EZH2,ZFPM2,1
EZH2,HOPX,1
EZH2,SEMA6D,1
EZH2,CRHBP,1
EZH2,NFIA,1
EZH2,ST8SIA1,1
EZH2,ERBB4,1
EZH2,LIMCH1,1
EZH2,CPVL,1
EZH2,SOX17,1
EZH2,SATB2,1
EZH2,PLXNA2,1
EZH2,GPR83,1
EZH2,CYP26A1,1
EZH2,ROR2,1
EZH2,PRTG,1
EZH2,TMOD1,1
EZH2,CCKBR,1
EZH2,ETV7,1
EZH2,DUSP4,1
EZH2,EPB41L3,1
EZH2,HTRA1,1
EZH2,FAM89A,1
EZH2,BMPER,1
EZH2,CYP1B1,1
EZH2,GATA4,1
EZH2,COLEC12,1
EZH2,LMO2,1
EZH2,GATM,1
EZH2,PDGFRA,1
EZH2,TWIST1,1
EZH2,MAMLD1,1
EZH2,SIX6,1
EZH2,LZTS1,1
EZH2,SCD5,1
EZH2,PDE3B,1
EZH2,HDAC9,1
EZH2,LEF1,1
EZH2,NFIC,1
EZH2,HOXB3,1
EZH2,NKX3-1,1
EZH2,SMAD6,1
EZH2,MECOM,1
EZH2,ARHGAP29,1
EZH2,TGFBR3,1
EZH2,PMP22,1
EZH2,GSC,1
EZH2,ESRRG,1
EZH2,RORB,1
EZH2,PENK,1
EZH2,OXTR,1
EZH2,RAI1,1
EZH2,YAF2,1
EZH2,SLCO2A1,1
EZH2,NFATC1,1
EZH2,SOX7,1
EZH2,CHL1,1
EZH2,UNC5C,1
EZH2,FBN1,1
EZH2,PPARA,1
EZH2,DDAH1,1
EZH2,NR0B1,1
EZH2,ZEB1,1
EZH2,FLI1,1
EZH2,GABRB2,1
EZH2,GATA2,1
EZH2,HAND2,1
EZH2,TRIM2,1
EZH2,MEIS1,1
EZH2,SLC39A8,1
EZH2,MLLT3,1
EZH2,BMP4,1
EZH2,CPE,1
EZH2,E2F4,1
EZH2,LMX1B,1
EZH2,MCC,1
EZH2,ST3GAL6,1
EZH2,DACH1,1
EZH2,CLDN11,1
EZH2,RFPL2,1
EZH2,BTG2,1
EZH2,TDRD7,1
EZH2,HAND1,1
EZH2,DCLK1,1
EZH2,MXI1,1
EZH2,B3GNT5,1
EZH2,SERPINE2,1
EZH2,RAB31,1
EZH2,MEIS2,1
EZH2,GAD1,1
EZH2,BMP2,1
EZH2,DYNC1I1,1
EZH2,SLITRK2,1
EZH2,HOXB7,1
EZH2,TGFB1,1
EZH2,FLRT2,1
EZH2,TBX20,1
EZH2,DLC1,1
EZH2,CDH11,1
EZH2,ELAVL2,1
EZH2,GLIPR2,1
EZH2,BHLHE40,1
EZH2,EOMES,1
EZH2,OTX2,1
EZH2,GRHL1,1
EZH2,MITF,1
EZH2,PGM2,1
EZH2,LMO3,1
EZH2,ELK3,1
FOXH1,SNX18,1
FOXH1,CER1,1
FOXH1,MECOM,1
FOXH1,MANEA,1
FOXH1,AFF1,1
FOXH1,TTC39B,1
FOXH1,ARHGAP28,1
FOXH1,MXI1,1
FOXH1,PSIP1,1
FOXH1,SEMA3E,1
FOXH1,CBX3,1
FOXH1,LGR4,1
FOXH1,ANGPT2,1
FOXH1,DEK,1
FOXH1,MCM4,1
FOXH1,KIAA1324L,1
FOXH1,PRDM1,1
FOXH1,PIP4K2A,1
FOXH1,ZNF202,1
FOXH1,HIF3A,1
FOXH1,OXTR,1
FOXH1,ACTC1,1
FOXH1,NANOG,1
FOXH1,KLHL4,1
FOXH1,RFPL2,1
FOXH1,EPHA4,1
FOXH1,AK4,1
FOXH1,ELAVL2,1
FOXH1,NEDD4,1
FOXH1,CA14,1
FOXH1,MATN3,1
FOXH1,STAT2,1
FOXH1,PAM,1
FOXH1,SLITRK2,1
FOXH1,TP53INP1,1
FOXH1,TLE2,1
FOXH1,CYP26A1,1
FOXH1,ROR2,1
FOXH1,GSC,1
FOXH1,KLF7,1
FOXH1,DDX54,1
FOXH1,ARID3B,1
FOXH1,ABLIM1,1
FOXH1,ATP11B,1
FOXH1,ARID5B,1
FOXH1,BAMBI,1
FOXH1,FOXJ1,1
FOXH1,RIPPLY1,1
FOXH1,TLE3,1
FOXH1,NRP2,1
FOXH1,SKIL,1
FOXH1,ANKRD1,1
FOXH1,RGPD2,1
FOXH1,RAI1,1
FOXH1,CALB1,1
FOXH1,ESRRG,1
FOXH1,DNAJC2,1
FOXH1,SLC35F1,1
FOXH1,NUSAP1,1
FOXH1,SRC,1
FOXH1,CCNE2,1
FOXH1,WDHD1,1
FOXH1,MEIS1,1
FOXH1,LIMCH1,1
FOXH1,OTX2,1
FOXH1,SMARCD3,1
FOXH1,HNRNPD,1
FOXH1,ETV1,1
FOXH1,ALPK2,1
FOXH1,RGS5,1
FOXH1,TNC,1
FOXH1,WDFY1,1
FOXH1,C4orf46,1
FOXH1,NFIA,1
FOXH1,CNKSR3,1
FOXH1,BTF3,1
FOXH1,BCAR3,1
FOXH1,KLF8,1
FOXH1,FREM1,1
FOXH1,SEMA6D,1
FOXH1,RNF13,1
FOXH1,MAML3,1
FOXH1,SLC46A3,1
FOXH1,EWSR1,1
FOXH1,RXRG,1
FOXH1,APC,1
FOXH1,KLHL6,1
FOXH1,JMJD1C,1
FOXH1,FAM117B,1
FOXH1,TLR4,1
FOXH1,ID1,1
FOXH1,CCNA2,1
FOXH1,LGR5,1
FOXH1,ANKRD28,1
FOXH1,LIPG,1
FOXH1,ITM2A,1
FOXH1,POLR2G,1
FOXH1,MAGI3,1
FOXH1,SNX14,1
FOXH1,ZNF219,1
FOXH1,RBFOX2,1
FOXH1,CLDN10,1
FOXH1,CDK6,1
FOXH1,PRICKLE1,1
FOXH1,TJP2,1
FOXH1,XRCC6,1
FOXP1,FOXP1,1
FOXP1,RGPD2,1
FOXP1,TCF4,1
FOXP1,CITED2,1
FOXP1,EXO1,1
FOXP1,POU2F1,1
FOXP1,ANKRD28,1
FOXP1,SUPT16H,1
FOXP1,MCM7,1
FOXP1,PSIP1,1
FOXP1,KLHL12,1
FOXP1,GTF2H2,1
FOXP1,MECOM,1
FOXP1,MAML3,1
FOXP1,ZNF521,1
FOXP1,STIM2,1
FOXP1,NFIA,1
FOXP1,MCM3,1
FOXP1,FUBP1,1
FOXP1,SLC36A4,1
FOXP1,SETBP1,1
FOXP1,ARID5B,1
FOXP1,ZNF585B,1
FOXP1,DAAM1,1
FOXP1,TIPARP,1
FOXP1,CXXC1,1
FOXP1,PA2G4,1
FOXP1,MRPL1,1
FOXP1,CSDE1,1
FOXP1,HNRNPD,1
FOXP1,CREB3L4,1
FOXP1,CASD1,1
FOXP1,ELOVL2,1
FOXP1,TDP2,1
FOXP1,RIN2,1
FOXP1,ARL4A,1
FOXP1,CNBP,1
FOXP1,TRAF6,1
FOXP1,DTL,1
FOXP1,TRAPPC8,1
FOXP1,BCAR3,1
FOXP1,CCPG1,1
FOXP1,FXR1,1
FOXP1,STAT2,1
FOXP1,RNF19A,1
FOXP1,TADA1,1
FOXP1,SNRPB,1
FOXP1,NOC3L,1
FOXP1,DNMT3A,1
FOXP1,TDRD7,1
FOXP1,SNRPD1,1
FOXP1,ZNF398,1
FOXP1,XRN1,1
FOXP1,NOL11,1
FOXP1,MDM4,1
FOXP1,ASNS,1
FOXP1,SNX18,1
FOXP1,UTP15,1
FOXP1,AFF1,1
FOXP1,ASXL1,1
FOXP1,CCNA2,1
FOXP1,NUP54,1
FOXP1,ANKZF1,1
FOXP1,TFB2M,1
FOXP1,TBX3,1
FOXP1,KLHL28,1
FOXP1,OTUD6B,1
FOXP1,AMN1,1
FOXP1,RBFOX2,1
FOXP1,PLAGL1,1
FOXP1,MAFF,1
FOXP1,KAT6A,1
FOXP1,SNAPC3,1
FOXP1,NFAT5,1
FOXP1,DEPDC1B,1
FOXP1,TP53,1
FOXP1,BUB1B,1
FOXP1,APC,1
FOXP1,SKIL,1
FOXP1,YPEL5,1
FOXP1,DEK,1
FOXP1,CTNNB1,1
FOXP1,ANKRD6,1
FOXP1,NPM1,1
FOXP1,SSB,1
FOXP1,POLR2A,1
FOXP1,CEP290,1
FOXP1,WDR35,1
FOXP1,OXTR,1
FOXP1,POLR2K,1
FOXP1,C4orf46,1
FOXP1,AFF4,1
FOXP1,VPS13C,1
FOXP1,PDCD11,1
FOXP1,PHB2,1
FOXP1,RBM14,1
FOXP1,PNPLA8,1
FOXP1,ALG6,1
FOXP1,FOXN3,1
FOXP1,CALCOCO1,1
FOXP1,ENC1,1
FOXP1,WWP1,1
FOXP1,KIF15,1
FOXP1,DAXX,1
FOXP1,ZNF219,1
FOXP1,RNF138,1
FOXP1,PATZ1,1
FOXP1,PMP22,1
FOXP1,ZFYVE16,1
FOXP1,TFAP4,1
FOXP1,SIRT1,1
FOXP1,CCDC82,1
FOXP1,MCM4,1
FOXP1,STAT3,1
FOXP1,KLHL4,1
FOXP1,GCA,1
FOXP1,PREPL,1
FOXP1,KIAA1324L,1
FOXP1,ITPR2,1
FOXP1,RNF14,1
FOXP1,BTF3,1
FOXP1,PARP1,1
FOXP1,RTKN2,1
FOXP1,NDUFC2-KCTD14,1
FOXP1,HMGN2,1
FOXP1,SMARCD1,1
FOXP1,DKK1,1
FOXP1,BCLAF1,1
FOXP1,SMAD5,1
FOXP1,SEMA6A,1
FOXP1,MMP16,1
FOXP1,TSPAN12,1
FOXP1,PTMA,1
FOXP1,RAI1,1
FOXP1,PPM1H,1
FOXP1,GATAD2A,1
FOXP1,LPGAT1,1
FOXP1,MIA3,1
FOXP1,PRICKLE1,1
FOXP1,E2F4,1
FOXP1,CNKSR3,1
FOXP1,FBXO34,1
FOXP1,PLAGL2,1
FOXP1,TCOF1,1
FOXP1,ZNF165,1
FOXP1,ROR2,1
FOXP1,DNAAF2,1
FOXP1,ACOX3,1
FOXP1,TTC39B,1
FOXP1,ALCAM,1
FOXP1,STK38L,1
FOXP1,U2AF1,1
FOXP1,GLMN,1
FOXP1,NR2C1,1
FOXP1,ZNF30,1
FOXP1,TBC1D4,1
FOXP1,SRSF2,1
FOXP1,TEAD1,1
FOXP1,CEP55,1
FOXP1,UPF1,1
FOXP1,MAP4K3,1
FOXP1,HDGF,1
FOXP1,TEX10,1
FOXP1,ST8SIA1,1
FOXP1,POU2F2,1
FOXP1,INSIG2,1
FOXP1,KIF21A,1
FOXP1,KLF5,1
FOXP1,ZNF764,1
FOXP1,IL6ST,1
FOXP1,ESCO2,1
FOXP1,TCF7L1,1
FOXP1,DCAF6,1
FOXP1,NFKBIB,1
FOXP1,JUND,1
FOXP1,ARFGAP3,1
FOXP1,RNPS1,1
FOXP1,PRKACB,1
FOXP1,CAMK2D,1
FOXP1,E2F7,1
FOXP1,CCDC138,1
